,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
112,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:24,+000:02:36:24,BAD ACSCL SOLUTION      
113,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:24,+000:02:36:25,BAD ACSCL SOLUTION      
114,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:24,+000:02:36:25,BAD ACSCL SOLUTION      
115,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:25,+000:02:36:27,BAD ACSCL SOLUTION      
116,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:25,+000:02:36:27,BAD ACSCL SOLUTION      
117,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:27,+000:02:36:27,BAD ACSCL SOLUTION      
118,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:27,+000:02:36:27,BAD ACSCL SOLUTION      
119,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:28,+000:02:36:28,BAD ACSCL SOLUTION      
120,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:28,+000:02:36:28,BAD ACSCL SOLUTION      
121,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:28,+000:02:36:30,BAD ACSCL SOLUTION      
122,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:28,+000:02:36:30,BAD ACSCL SOLUTION      
123,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:30,+000:02:36:31,BAD ACSCL SOLUTION      
124,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:30,+000:02:36:31,BAD ACSCL SOLUTION      
125,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:31,+000:02:36:31,BAD ACSCL SOLUTION      
126,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:31,+000:02:36:31,BAD ACSCL SOLUTION      
127,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:31,+000:02:36:32,BAD ACSCL SOLUTION      
128,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:31,+000:02:36:32,BAD ACSCL SOLUTION      
129,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:32,+000:02:36:34,BAD ACSCL SOLUTION      
130,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:32,+000:02:36:34,BAD ACSCL SOLUTION      
131,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:34,+000:02:36:34,BAD ACSCL SOLUTION      
132,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:34,+000:02:36:34,BAD ACSCL SOLUTION      
133,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:35,+000:02:36:35,BAD ACSCL SOLUTION      
134,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:35,+000:02:36:35,BAD ACSCL SOLUTION      
